scenario,text,label_incompatible,token_rank,token,token_shock
water_boiling,Water boils at 90 degrees Celsius at sea level.,1,2,boils,0.0
water_boiling,Water boils at 90 degrees Celsius at sea level.,1,3,at,0.0
water_boiling,Water boils at 90 degrees Celsius at sea level.,1,4,90,0.0
water_boiling,Water boils at 90 degrees Celsius at sea level.,1,5,degrees,0.0
water_boiling,Water boils at 90 degrees Celsius at sea level.,1,6,Celsius,0.0
water_boiling,Water boils at 90 degrees Celsius at sea level.,1,7,at,0.0
water_boiling,Water boils at 90 degrees Celsius at sea level.,1,8,sea,0.0
water_boiling,Water boils at 90 degrees Celsius at sea level.,1,9,level.,0.0
water_boiling,Water boils at 200 degrees Celsius at sea level.,1,1,Water,0.0
water_boiling,Water boils at 200 degrees Celsius at sea level.,1,2,boils,0.0
water_boiling,Water boils at 200 degrees Celsius at sea level.,1,3,at,0.0
water_boiling,Water boils at 200 degrees Celsius at sea level.,1,4,200,0.0
water_boiling,Water boils at 200 degrees Celsius at sea level.,1,5,degrees,0.0
water_boiling,Water boils at 200 degrees Celsius at sea level.,1,6,Celsius,0.0
water_boiling,Water boils at 200 degrees Celsius at sea level.,1,7,at,0.0
water_boiling,Water boils at 200 degrees Celsius at sea level.,1,8,sea,0.0
water_boiling,Water boils at 200 degrees Celsius at sea level.,1,9,level.,0.0
water_boiling,Water freezes at 100 degrees Celsius at sea level.,1,1,freezes,0.17646008729934692
water_boiling,Water freezes at 100 degrees Celsius at sea level.,1,2,at,0.020717918872833252
water_boiling,Water freezes at 100 degrees Celsius at sea level.,1,3,Water,0.0
water_boiling,Water freezes at 100 degrees Celsius at sea level.,1,4,100,0.0
water_boiling,Water freezes at 100 degrees Celsius at sea level.,1,5,degrees,0.0
water_boiling,Water freezes at 100 degrees Celsius at sea level.,1,6,Celsius,0.0
water_boiling,Water freezes at 100 degrees Celsius at sea level.,1,7,at,0.0
water_boiling,Water freezes at 100 degrees Celsius at sea level.,1,8,sea,0.0
water_boiling,Water freezes at 100 degrees Celsius at sea level.,1,9,level.,0.0
water_boiling,Water boils at 100 degrees Fahrenheit at sea level.,1,1,Water,0.0
water_boiling,Water boils at 100 degrees Fahrenheit at sea level.,1,2,boils,0.0
water_boiling,Water boils at 100 degrees Fahrenheit at sea level.,1,3,at,0.0
water_boiling,Water boils at 100 degrees Fahrenheit at sea level.,1,4,100,0.0
water_boiling,Water boils at 100 degrees Fahrenheit at sea level.,1,5,degrees,0.0
water_boiling,Water boils at 100 degrees Fahrenheit at sea level.,1,6,Fahrenheit,0.0
water_boiling,Water boils at 100 degrees Fahrenheit at sea level.,1,7,at,0.0
water_boiling,Water boils at 100 degrees Fahrenheit at sea level.,1,8,sea,0.0
water_boiling,Water boils at 100 degrees Fahrenheit at sea level.,1,9,level.,0.0
moon_surface,"The Moon's surface is made of rock, dust, basalt, and regolith.",0,1,made,0.03348493576049805
moon_surface,"The Moon's surface is made of rock, dust, basalt, and regolith.",0,2,is,0.0023043453693389893
moon_surface,"The Moon's surface is made of rock, dust, basalt, and regolith.",0,3,The,0.000824660062789917
moon_surface,"The Moon's surface is made of rock, dust, basalt, and regolith.",0,4,Moon's,0.0
moon_surface,"The Moon's surface is made of rock, dust, basalt, and regolith.",0,5,surface,0.0
moon_surface,"The Moon's surface is made of rock, dust, basalt, and regolith.",0,6,of,0.0
moon_surface,"The Moon's surface is made of rock, dust, basalt, and regolith.",0,7,"rock,",0.0
moon_surface,"The Moon's surface is made of rock, dust, basalt, and regolith.",0,8,"dust,",0.0
moon_surface,"The Moon's surface is made of rock, dust, basalt, and regolith.",0,9,"basalt,",0.0
moon_surface,"The Moon's surface is made of rock, dust, basalt, and regolith.",0,10,and,0.0
moon_surface,"The Moon's surface is made of rock, dust, basalt, and regolith.",0,11,regolith.,0.0
moon_surface,The Moon has a rocky surface with basaltic plains and craters.,0,1,rocky,0.01696920394897461
moon_surface,The Moon has a rocky surface with basaltic plains and craters.,0,2,plains,0.009539604187011719
moon_surface,The Moon has a rocky surface with basaltic plains and craters.,0,3,a,0.0074880123138427734
moon_surface,The Moon has a rocky surface with basaltic plains and craters.,0,4,The,0.00329512357711792
moon_surface,The Moon has a rocky surface with basaltic plains and craters.,0,5,Moon,0.0
moon_surface,The Moon has a rocky surface with basaltic plains and craters.,0,6,has,0.0
moon_surface,The Moon has a rocky surface with basaltic plains and craters.,0,7,surface,0.0
moon_surface,The Moon has a rocky surface with basaltic plains and craters.,0,8,with,0.0
moon_surface,The Moon has a rocky surface with basaltic plains and craters.,0,9,basaltic,0.0
moon_surface,The Moon has a rocky surface with basaltic plains and craters.,0,10,and,0.0
moon_surface,The Moon has a rocky surface with basaltic plains and craters.,0,11,craters.,0.0
moon_surface,The Moon is made of green cheese.,1,1,green,0.09452813863754272
moon_surface,The Moon is made of green cheese.,1,2,cheese.,0.06717246770858765
moon_surface,The Moon is made of green cheese.,1,3,The,0.034362077713012695
moon_surface,The Moon is made of green cheese.,1,4,Moon,0.0
moon_surface,The Moon is made of green cheese.,1,5,is,0.0
moon_surface,The Moon is made of green cheese.,1,6,made,0.0
moon_surface,The Moon is made of green cheese.,1,7,of,0.0
moon_surface,The Moon is a hollow alien space station.,1,1,station.,0.024382412433624268
moon_surface,The Moon is a hollow alien space station.,1,2,The,0.00815659761428833
moon_surface,The Moon is a hollow alien space station.,1,3,space,0.0038625001907348633
moon_surface,The Moon is a hollow alien space station.,1,4,Moon,0.0
moon_surface,The Moon is a hollow alien space station.,1,5,is,0.0
moon_surface,The Moon is a hollow alien space station.,1,6,a,0.0
moon_surface,The Moon is a hollow alien space station.,1,7,hollow,0.0
moon_surface,The Moon is a hollow alien space station.,1,8,alien,0.0
moon_surface,The Moon's surface is mostly liquid water.,1,1,liquid,0.04927247762680054
moon_surface,The Moon's surface is mostly liquid water.,1,2,water.,0.019661664962768555
moon_surface,The Moon's surface is mostly liquid water.,1,3,The,0.0
moon_surface,The Moon's surface is mostly liquid water.,1,4,Moon's,0.0
moon_surface,The Moon's surface is mostly liquid water.,1,5,surface,0.0
moon_surface,The Moon's surface is mostly liquid water.,1,6,is,0.0
moon_surface,The Moon's surface is mostly liquid water.,1,7,mostly,0.0
moon_surface,The Moon is made mostly of wood.,1,1,wood.,0.054807186126708984
moon_surface,The Moon is made mostly of wood.,1,2,The,0.005049467086791992
moon_surface,The Moon is made mostly of wood.,1,3,Moon,0.0
moon_surface,The Moon is made mostly of wood.,1,4,is,0.0
moon_surface,The Moon is made mostly of wood.,1,5,made,0.0
moon_surface,The Moon is made mostly of wood.,1,6,mostly,0.0
moon_surface,The Moon is made mostly of wood.,1,7,of,0.0
programming_language_subjective_control,Python is often considered beginner-friendly.,0,1,Python,0.0
programming_language_subjective_control,Python is often considered beginner-friendly.,0,2,is,0.0
programming_language_subjective_control,Python is often considered beginner-friendly.,0,3,often,0.0
programming_language_subjective_control,Python is often considered beginner-friendly.,0,4,considered,0.0
programming_language_subjective_control,Python is often considered beginner-friendly.,0,5,beginner-friendly.,0.0
programming_language_subjective_control,Python is a popular first programming language.,0,1,Python,0.0
programming_language_subjective_control,Python is a popular first programming language.,0,2,is,0.0
programming_language_subjective_control,Python is a popular first programming language.,0,3,a,0.0
programming_language_subjective_control,Python is a popular first programming language.,0,4,popular,0.0
programming_language_subjective_control,Python is a popular first programming language.,0,5,first,0.0
programming_language_subjective_control,Python is a popular first programming language.,0,6,programming,0.0
programming_language_subjective_control,Python is a popular first programming language.,0,7,language.,0.0
programming_language_subjective_control,JavaScript is also a common first programming language.,1,1,JavaScript,0.12496834993362427
programming_language_subjective_control,JavaScript is also a common first programming language.,1,2,is,0.007747352123260498
programming_language_subjective_control,JavaScript is also a common first programming language.,1,3,also,0.0
programming_language_subjective_control,JavaScript is also a common first programming language.,1,4,a,0.0
programming_language_subjective_control,JavaScript is also a common first programming language.,1,5,common,0.0
programming_language_subjective_control,JavaScript is also a common first programming language.,1,6,first,0.0
programming_language_subjective_control,JavaScript is also a common first programming language.,1,7,programming,0.0
programming_language_subjective_control,JavaScript is also a common first programming language.,1,8,language.,0.0
programming_language_subjective_control,Java can be a good first language for structured programming.,1,1,Java,0.051971375942230225
programming_language_subjective_control,Java can be a good first language for structured programming.,1,2,structured,0.037302613258361816
programming_language_subjective_control,Java can be a good first language for structured programming.,1,3,for,0.013129234313964844
programming_language_subjective_control,Java can be a good first language for structured programming.,1,4,can,0.0
programming_language_subjective_control,Java can be a good first language for structured programming.,1,5,be,0.0
programming_language_subjective_control,Java can be a good first language for structured programming.,1,6,a,0.0
programming_language_subjective_control,Java can be a good first language for structured programming.,1,7,good,0.0
programming_language_subjective_control,Java can be a good first language for structured programming.,1,8,first,0.0
programming_language_subjective_control,Java can be a good first language for structured programming.,1,9,language,0.0
programming_language_subjective_control,Java can be a good first language for structured programming.,1,10,programming.,0.0
programming_language_subjective_control,C is useful for learning low-level programming concepts.,1,1,C,0.09799635410308838
programming_language_subjective_control,C is useful for learning low-level programming concepts.,1,2,for,0.013710081577301025
programming_language_subjective_control,C is useful for learning low-level programming concepts.,1,3,concepts.,0.006978869438171387
programming_language_subjective_control,C is useful for learning low-level programming concepts.,1,4,is,0.0
programming_language_subjective_control,C is useful for learning low-level programming concepts.,1,5,useful,0.0
programming_language_subjective_control,C is useful for learning low-level programming concepts.,1,6,learning,0.0
programming_language_subjective_control,C is useful for learning low-level programming concepts.,1,7,low-level,0.0
programming_language_subjective_control,C is useful for learning low-level programming concepts.,1,8,programming,0.0
