suite,clamp,count_fired,N_candidates,rate
EXP18_UNSEEN_HOLDOUT_GUARDED,exact_reference_member,11,50,0.22
EXP18_UNSEEN_HOLDOUT_GUARDED,final_geometric_block,0,50,0.0
EXP18_UNSEEN_HOLDOUT_GUARDED,final_literal_block,2,50,0.04
COMBINED_LOCKED_V11,protected_number,7,257,0.027237354085603113
COMBINED_LOCKED_V11,protected_unit,2,257,0.007782101167315175
COMBINED_LOCKED_V11,protected_entity,19,257,0.07392996108949416
COMBINED_LOCKED_V11,protected_literal_drift,23,257,0.08949416342412451
COMBINED_LOCKED_V11,overclaim_flag,12,257,0.04669260700389105
COMBINED_LOCKED_V11,content_clamp_flag,36,257,0.14007782101167315
COMBINED_LOCKED_V11,relation_polarity_clamp,9,257,0.03501945525291829
COMBINED_LOCKED_V11,relation_polarity_clamp_v10b,35,257,0.13618677042801555
COMBINED_LOCKED_V11,noncopular_relation_clamp,18,257,0.07003891050583658
COMBINED_LOCKED_V11,noncopular_relation_clamp_v13c,24,257,0.0933852140077821
COMBINED_LOCKED_V11,negated_positive_support_clamp,9,257,0.03501945525291829
COMBINED_LOCKED_V11,role_swapped_relation_clamp,19,257,0.07392996108949416
COMBINED_LOCKED_V11,known_participant_unsupported_relation_clamp,103,257,0.40077821011673154
COMBINED_LOCKED_V11,guarded_known_participant_unsupported_relation_clamp,48,257,0.1867704280155642
COMBINED_LOCKED_V11,historical_date_relation_clamp,5,257,0.019455252918287938
COMBINED_LOCKED_V11,missed_predicate_relation_clamp,1,257,0.0038910505836575876
COMBINED_LOCKED_V11,exp19b_guarded_patch_clamp,70,257,0.2723735408560311
COMBINED_LOCKED_V11,reference_member_geometry_override,1,257,0.0038910505836575876
COMBINED_LOCKED_V11,exact_reference_member,47,257,0.1828793774319066
COMBINED_LOCKED_V11,final_geometric_block,19,257,0.07392996108949416
COMBINED_LOCKED_V11,final_literal_block,20,257,0.07782101167315175
