case_id,prompt,expected_has_valid,candidate_index,text,label_hallucinated,mbt5_shock,threshold,anchor_median,anchor_mad,literal_score,reference_overlap,regulator_score,protected_number,protected_unit,protected_entity,protected_literal_drift,overclaim_flag,content_clamp_flag,max_unsupported_token_shock,relation_polarity_clamp_v10b,literal_only_block,guarded_paraphrase_tolerated,pred_hallucinated_v6,safe_to_emit_v6,novel_numbers,novel_units,novel_entities,novel_content,novel_content_count,noncopular_relation_clamp_v13c,all_noncopular_relations_supported_v13c,relation_supported_geometry_override_v13c,pred_hallucinated_v8_exp13c,safe_to_emit_v8
conversion_direction_mixed,What does photosynthesis convert?,1,0,Photosynthesis converts oxygen into carbon dioxide and water.,1,0.1344274431467056,0.588822215795517,0.3488382697105407,0.079994648694992,0.0,7,0.1344274431467056,0,0,0,0,0,0,0.0,0,0,0,0,1,,,,,0,1,0,0,1,0
conversion_direction_mixed,What does photosynthesis convert?,1,1,Photosynthesis converts carbon dioxide and water into sugars and oxygen.,0,0.0616318546235561,0.588822215795517,0.3488382697105407,0.079994648694992,0.0,8,0.0616318546235561,0,0,0,0,0,0,0.0,0,0,0,0,1,,,,,0,0,1,0,0,1
conversion_direction_mixed,What does photosynthesis convert?,1,2,Plants use photosynthesis to make sugars from carbon dioxide and water.,0,0.19723641872406,0.588822215795517,0.3488382697105407,0.079994648694992,0.0,8,0.19723641872406,0,0,0,0,0,0,0.0,0,0,0,0,1,,,,,0,0,0,0,0,1
conversion_direction_mixed,What does photosynthesis convert?,1,3,Photosynthesis converts carbon dioxide into plastic.,1,0.4162702858448028,0.588822215795517,0.3488382697105407,0.079994648694992,0.5,5,0.4912702858448028,0,0,0,0,0,1,0.0985950827598571,0,0,0,1,0,,,,plastic,1,1,0,0,1,0
conversion_direction_mixed,What does photosynthesis convert?,1,4,Photosynthesis releases oxygen and stores light energy.,0,0.220676451921463,0.588822215795517,0.3488382697105407,0.079994648694992,0.0,6,0.220676451921463,0,0,0,0,0,0,0.0,0,0,0,0,1,,,,,0,0,1,0,0,1
conversion_direction_all_bad,Block wrong conversion relations.,0,0,Photosynthesis converts oxygen into carbon dioxide and water.,1,0.1344274431467056,0.588822215795517,0.3488382697105407,0.079994648694992,0.0,7,0.1344274431467056,0,0,0,0,0,0,0.0,0,0,0,0,1,,,,,0,1,0,0,1,0
conversion_direction_all_bad,Block wrong conversion relations.,0,1,Photosynthesis converts sugars into carbon dioxide and water.,1,0.1239046305418014,0.588822215795517,0.3488382697105407,0.079994648694992,0.0,7,0.1239046305418014,0,0,0,0,0,0,0.0,0,0,0,0,1,,,,,0,1,0,0,1,0
conversion_direction_all_bad,Block wrong conversion relations.,0,2,Photosynthesis converts oxygen into plastic.,1,0.3876755535602569,0.588822215795517,0.3488382697105407,0.079994648694992,0.5,4,0.4626755535602569,0,0,0,0,0,1,0.1321305930614471,0,0,0,1,0,,,,plastic,1,1,0,0,1,0
conversion_direction_all_bad,Block wrong conversion relations.,0,3,Photosynthesis converts light energy into metal.,1,0.4885956645011902,0.588822215795517,0.3488382697105407,0.079994648694992,0.5,5,0.5635956645011901,0,0,0,0,0,0,0.0,0,0,0,0,1,,,,metal,1,1,0,0,1,0
containment_direction_mixed,Where is DNA contained?,1,0,DNA contains the nucleus.,1,0.146425575017929,0.4785757139325142,0.2455860078334808,0.0776632353663444,0.0,3,0.146425575017929,0,0,0,0,0,0,0.0,0,0,0,0,1,,,,,0,1,0,0,1,0
containment_direction_mixed,Where is DNA contained?,1,1,The nucleus contains most human cellular DNA.,0,0.0624954551458358,0.4785757139325142,0.2455860078334808,0.0776632353663444,0.0,5,0.0624954551458358,0,0,0,0,0,0,0.0,0,0,0,0,1,,,,,0,0,1,0,0,1
containment_direction_mixed,Where is DNA contained?,1,2,Human cells contain DNA in the nucleus.,0,0.0651251524686813,0.4785757139325142,0.2455860078334808,0.0776632353663444,0.0,5,0.0651251524686813,0,0,0,0,0,0,0.0,0,0,0,0,1,,,,,0,0,1,0,0,1
containment_direction_mixed,Where is DNA contained?,1,3,Mitochondria contain some DNA.,0,0.4910173118114471,0.4785757139325142,0.2455860078334808,0.0776632353663444,0.0,3,0.4910173118114471,0,0,0,0,0,0,0.0,0,0,0,1,0,,,,,0,0,1,1,0,1
containment_direction_mixed,Where is DNA contained?,1,4,DNA contains human cells.,1,0.2465547919273376,0.4785757139325142,0.2455860078334808,0.0776632353663444,0.0,4,0.2465547919273376,0,0,0,0,0,0,0.0,0,0,0,0,1,,,,,0,1,0,0,1,0
containment_direction_all_bad,Block wrong containment relations.,0,0,DNA contains the nucleus.,1,0.146425575017929,0.4785757139325142,0.2455860078334808,0.0776632353663444,0.0,3,0.146425575017929,0,0,0,0,0,0,0.0,0,0,0,0,1,,,,,0,1,0,0,1,0
containment_direction_all_bad,Block wrong containment relations.,0,1,DNA contains human cells.,1,0.2465547919273376,0.4785757139325142,0.2455860078334808,0.0776632353663444,0.0,4,0.2465547919273376,0,0,0,0,0,0,0.0,0,0,0,0,1,,,,,0,1,0,0,1,0
containment_direction_all_bad,Block wrong containment relations.,0,2,Mitochondria contain the nucleus.,1,0.4662539958953857,0.4785757139325142,0.2455860078334808,0.0776632353663444,0.0,3,0.4662539958953857,0,0,0,0,0,0,0.0,0,0,0,0,1,,,,,0,1,0,0,1,0
containment_direction_all_bad,Block wrong containment relations.,0,3,The nucleus contains keyboards.,1,0.7504246234893799,0.4785757139325142,0.2455860078334808,0.0776632353663444,0.5,2,0.8254246234893798,0,0,0,0,0,1,0.1543838381767273,0,0,0,1,0,,,,keyboards,1,1,0,0,1,0
cause_direction_mixed,Which direction is the causal relation?,1,0,Heat produces friction.,1,0.0604158602654933,0.2343085668981075,0.1492566466331482,0.0283506400883197,0.0,3,0.0604158602654933,0,0,0,0,0,0,0.0,0,0,0,0,1,,,,,0,1,0,0,1,0
cause_direction_mixed,Which direction is the causal relation?,1,1,Friction can produce heat.,0,0.059215385466814,0.2343085668981075,0.1492566466331482,0.0283506400883197,0.0,3,0.059215385466814,0,0,0,0,0,0,0.0,0,0,0,0,1,,,,,0,0,1,0,0,1
cause_direction_mixed,Which direction is the causal relation?,1,2,Rubbing surfaces can generate heat through friction.,0,0.2193867862224578,0.2343085668981075,0.1492566466331482,0.0283506400883197,0.0,5,0.2193867862224578,0,0,0,0,0,0,0.0,0,0,0,0,1,,,,,0,0,1,0,0,1
cause_direction_mixed,Which direction is the causal relation?,1,3,Friction converts some motion into heat.,0,0.0492999479174613,0.2343085668981075,0.1492566466331482,0.0283506400883197,0.0,5,0.0492999479174613,0,0,0,0,0,0,0.0,0,0,0,0,1,,,,,0,0,1,0,0,1
cause_direction_mixed,Which direction is the causal relation?,1,4,Heat converts friction into motion.,1,0.1004052385687828,0.2343085668981075,0.1492566466331482,0.0283506400883197,0.0,5,0.1004052385687828,0,0,0,0,0,0,0.0,0,0,0,0,1,,,,,0,1,0,0,1,0
has_count_relation_mixed,Check object-count relations.,1,0,"Mars has one moon, Phobos.",1,0.1947550624608993,1.3095614314079285,0.6399155855178833,0.2232152819633484,0.0,4,0.1947550624608993,0,0,0,0,0,0,0.0,0,0,0,0,1,,,,,0,1,0,0,1,0
has_count_relation_mixed,Check object-count relations.,1,1,"Mars has two moons, Phobos and Deimos.",0,0.027212930843234,1.3095614314079285,0.6399155855178833,0.2232152819633484,0.0,5,0.027212930843234,0,0,0,0,0,0,0.0,0,0,0,0,1,,,,,0,0,1,0,0,1
has_count_relation_mixed,Check object-count relations.,1,2,Earth has one Moon.,0,0.713210940361023,1.3095614314079285,0.6399155855178833,0.2232152819633484,0.0,3,0.713210940361023,0,0,0,0,0,0,0.0,0,0,0,0,1,,,,,0,0,1,0,0,1
has_count_relation_mixed,Check object-count relations.,1,3,Earth has two moons.,1,0.5410306453704834,1.3095614314079285,0.6399155855178833,0.2232152819633484,0.0,3,0.5410306453704834,0,0,0,0,0,0,0.0,0,0,0,0,1,,,,,0,1,0,0,1,0
has_count_relation_mixed,Check object-count relations.,1,4,Jupiter has many moons.,0,0.6276122331619263,1.3095614314079285,0.6399155855178833,0.2232152819633484,0.0,2,0.6276122331619263,0,0,0,0,0,0,0.0,0,0,0,0,1,,,,,0,0,1,0,0,1
