suite,case_id,candidate_index,text,label_hallucinated,pred_hallucinated_locked,safe_to_emit_locked,pred_hallucinated_previous,locked_confusion_class,mbt5_shock,threshold,literal_score,reference_overlap,regulator_score,anchor_median,anchor_mad,max_unsupported_token_shock,protected_number,protected_unit,protected_entity,protected_literal_drift,overclaim_flag,content_clamp_flag,relation_polarity_clamp,relation_polarity_clamp_v10b,noncopular_relation_clamp,noncopular_relation_clamp_v13c,final_geometric_block,final_geometric_block_v14b,final_literal_block,negated_positive_support_clamp,reference_member_geometry_override,relation_supported_geometry_override,exact_reference_member,novel_numbers,novel_units,novel_entities,novel_content,clamp_summary,role_swapped_relation_clamp,known_participant_unsupported_relation_clamp,historical_date_relation_clamp,missed_predicate_relation_clamp,exp18_patch_clamp_on_exp16b,pred_hallucinated_exp19,safe_to_emit_exp19,hard_novelty_or_literal_support,guarded_known_participant_unsupported_relation_clamp,exp19b_guarded_patch_clamp,pred_hallucinated_exp19b,safe_to_emit_exp19b,changed_by_exp19b,prompt,expected_has_valid,pred_hallucinated_exp17,safe_to_emit_exp17,relation_clamp,geometry_override,num_relations_extracted,all_relations_supported,exp18_patch_clamp,pred_hallucinated_exp18,safe_to_emit_exp18
EXP16B_master_with_guarded_EXP18_patch,mars_moons_mixed,0,"Mars has one moon, Phobos.",1,1.0,0.0,1.0,TP_hallucination_blocked,0.277057409286499,0.140945678576827,1.0,2.0,0.427057409286499,0.0847465991973877,0.0187330264598131,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,,"moon,one",none,0,1,0,0,1.0,1.0,0.0,1,1,1,1,0,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,mars_moons_mixed,1,"Mars has two moons, Phobos and Deimos.",0,0.0,1.0,0.0,TN_valid_kept,0.0449438393115997,0.140945678576827,0.0,5.0,0.0449438393115997,0.0847465991973877,0.0187330264598131,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,,,none,0,0,0,0,0.0,0.0,1.0,0,0,0,0,1,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,mars_moons_mixed,2,The moons of Mars are Phobos and Deimos.,0,0.0,1.0,0.0,TN_valid_kept,0.0510710217058658,0.140945678576827,0.0,4.0,0.0510710217058658,0.0847465991973877,0.0187330264598131,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,,,none,0,0,0,0,0.0,0.0,1.0,0,0,0,0,1,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,mars_moons_mixed,3,Mars has three moons.,1,1.0,0.0,1.0,TP_hallucination_blocked,0.5258126258850098,0.140945678576827,0.5,2.0,0.6008126258850097,0.0847465991973877,0.0187330264598131,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,,three,none,0,1,0,0,1.0,1.0,0.0,1,1,1,1,0,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,mars_moons_mixed,4,"Mars has two moons, Luna and Titan.",1,1.0,0.0,1.0,TP_hallucination_blocked,0.5943159461021423,0.140945678576827,4.0,3.0,1.1943159461021424,0.0847465991973877,0.0187330264598131,0.052310824394226,0,0,1,1,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,"Luna,Titan","luna,titan",content_token_clamp|entity_drift|protected_literal_drift,0,0,0,0,0.0,1.0,0.0,1,0,0,1,0,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,gravity_quantum_mixed,0,Gravity is fully solved by modern physics.,1,1.0,0.0,1.0,TP_hallucination_blocked,0.4879266023635864,0.958626389503479,1.0,3.0,0.6379266023635864,0.7775291800498962,0.0603657364845275,0.0151875615119934,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,,"fully,solved",overclaim,0,0,0,0,0.0,1.0,0.0,1,0,0,1,0,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,gravity_quantum_mixed,1,Gravity can be described by Newtonian attraction and by spacetime curvature in general relativity.,0,0.0,1.0,0.0,TN_valid_kept,0.402241438627243,0.958626389503479,0.5,6.0,0.477241438627243,0.7775291800498962,0.0603657364845275,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,,attraction,none,0,0,0,0,0.0,0.0,1.0,1,0,0,0,1,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,gravity_quantum_mixed,2,"Modern physics has useful descriptions of gravity, but no complete established quantum theory.",0,0.0,1.0,0.0,TN_valid_kept,0.2395101934671402,0.958626389503479,0.0,9.0,0.2395101934671402,0.7775291800498962,0.0603657364845275,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,,,none,0,0,0,0,0.0,0.0,1.0,0,0,0,0,1,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,gravity_quantum_mixed,3,Quantum gravity is complete and experimentally verified.,1,1.0,0.0,1.0,TP_hallucination_blocked,0.4272800385951996,0.958626389503479,0.0,5.0,0.4272800385951996,0.7775291800498962,0.0603657364845275,0.0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,,,copular_relation_clamp|overclaim,0,0,0,0,0.0,1.0,0.0,1,0,0,1,0,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,gravity_quantum_mixed,4,Gravity is caused by invisible magnetic fluid.,1,1.0,0.0,1.0,TP_hallucination_blocked,0.711924135684967,0.958626389503479,2.0,1.0,1.011924135684967,0.7775291800498962,0.0603657364845275,0.001822292804718,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,,"caused,fluid,invisible,magnetic",none,0,0,0,0,0.0,1.0,0.0,1,0,0,1,0,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,eiffel_location_all_bad,0,The Eiffel Tower is in London.,1,1.0,0.0,1.0,TP_hallucination_blocked,0.3101436793804168,0.0875246850773692,2.0,2.0,0.6101436793804169,0.0438599735498428,0.0145549038425087,0.0,0,0,1,1,0,0,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,London,london,copular_relation_clamp|entity_drift|protected_literal_drift,0,1,0,0,1.0,1.0,0.0,1,1,1,1,0,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,eiffel_location_all_bad,1,The Eiffel Tower is in Berlin.,1,1.0,0.0,1.0,TP_hallucination_blocked,0.4467198252677917,0.0875246850773692,2.0,2.0,0.7467198252677918,0.0438599735498428,0.0145549038425087,0.0,0,0,1,1,0,0,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,Berlin,berlin,copular_relation_clamp|entity_drift|protected_literal_drift,0,1,0,0,1.0,1.0,0.0,1,1,1,1,0,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,eiffel_location_all_bad,2,The Eiffel Tower is in Rome.,1,1.0,0.0,1.0,TP_hallucination_blocked,0.3191029727458954,0.0875246850773692,2.0,2.0,0.6191029727458954,0.0438599735498428,0.0145549038425087,0.0,0,0,1,1,0,0,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,Rome,rome,copular_relation_clamp|entity_drift|protected_literal_drift,0,1,0,0,1.0,1.0,0.0,1,1,1,1,0,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,eiffel_location_all_bad,3,The Eiffel Tower is in Madrid.,1,1.0,0.0,1.0,TP_hallucination_blocked,0.4503082036972046,0.0875246850773692,2.0,2.0,0.7503082036972046,0.0438599735498428,0.0145549038425087,0.1661590337753296,0,0,1,1,0,1,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,Madrid,madrid,content_token_clamp|copular_relation_clamp|entity_drift|protected_literal_drift,0,1,0,0,1.0,1.0,0.0,1,1,1,1,0,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,human_body_temp_all_bad,0,Normal human body temperature is 100 degrees Celsius.,1,1.0,0.0,1.0,TP_hallucination_blocked,0.2192841321229934,0.2120460122823715,2.5,4.0,0.5942841321229935,0.1235996335744857,0.0294821262359619,0.0684773027896881,1,0,0,1,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,100.0,,,100,content_token_clamp|number_drift|protected_literal_drift,0,0,0,0,0.0,1.0,0.0,1,0,0,1,0,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,human_body_temp_all_bad,1,Normal human body temperature is 0 degrees Celsius.,1,1.0,0.0,1.0,TP_hallucination_blocked,0.3478704988956451,0.2120460122823715,2.5,4.0,0.7228704988956451,0.1235996335744857,0.0294821262359619,0.1900049448013305,1,0,0,1,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,,,0,content_token_clamp|number_drift|protected_literal_drift,0,0,0,0,0.0,1.0,0.0,1,0,0,1,0,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,human_body_temp_all_bad,2,Normal human body temperature is 37 degrees Fahrenheit.,1,1.0,0.0,1.0,TP_hallucination_blocked,0.0758658051490783,0.2120460122823715,3.0,5.0,0.5258658051490783,0.1235996335744857,0.0294821262359619,0.0,0,1,1,1,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,fahrenheit,Fahrenheit,,entity_drift|protected_literal_drift|unit_drift,0,0,0,0,0.0,1.0,0.0,1,0,0,1,0,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,human_body_temp_all_bad,3,Normal human body temperature is 200 degrees Celsius.,1,1.0,0.0,1.0,TP_hallucination_blocked,0.2443611025810241,0.2120460122823715,2.5,4.0,0.6193611025810242,0.1235996335744857,0.0294821262359619,0.0945284068584442,1,0,0,1,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,200.0,,,200,content_token_clamp|number_drift|protected_literal_drift,0,0,0,0,0.0,1.0,0.0,1,0,0,1,0,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,photosynthesis_all_bad,0,Photosynthesis turns moonlight directly into metal.,1,1.0,0.0,1.0,TP_hallucination_blocked,0.7479566335678101,0.4037086293101311,2.0,2.0,1.04795663356781,0.2521755993366241,0.0505110099911689,0.0600799322128295,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,,"directly,metal,moonlight,turns",content_token_clamp,0,1,0,0,1.0,1.0,0.0,1,1,1,1,0,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,photosynthesis_all_bad,1,Photosynthesis converts oxygen into plastic and electricity.,1,1.0,0.0,1.0,TP_hallucination_blocked,0.3762761354446411,0.4037086293101311,1.0,4.0,0.5262761354446411,0.2521755993366241,0.0505110099911689,0.0981965661048889,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,,"electricity,plastic",content_token_clamp,0,1,0,0,1.0,1.0,0.0,1,1,1,1,0,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,photosynthesis_all_bad,2,Photosynthesis is how plants eat soil directly.,1,1.0,0.0,1.0,TP_hallucination_blocked,0.6635478138923645,0.4037086293101311,2.0,2.0,0.9635478138923644,0.2521755993366241,0.0505110099911689,0.1094659566879272,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,,"directly,eat,how,soil",content_token_clamp,0,0,0,0,0.0,1.0,0.0,1,0,0,1,0,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,photosynthesis_all_bad,3,Photosynthesis turns carbon dioxide into gold.,1,1.0,0.0,1.0,TP_hallucination_blocked,0.640388011932373,0.4037086293101311,1.0,4.0,0.7903880119323731,0.2521755993366241,0.0505110099911689,0.1629652380943298,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,,"gold,turns",content_token_clamp,0,1,0,0,1.0,1.0,0.0,1,1,1,1,0,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,valid_science_paraphrases,0,Scientific models describe observations and can be useful without being final truth.,0,0.0,1.0,0.0,TN_valid_kept,0.1749086827039718,1.083843231201172,0.0,8.0,0.1749086827039718,0.6137987971305847,0.156681478023529,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,,,none,0,0,0,0,0.0,0.0,1.0,0,0,0,0,1,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,valid_science_paraphrases,1,A model can fit evidence while still being incomplete.,0,0.0,1.0,0.0,TN_valid_kept,0.440259724855423,1.083843231201172,0.5,4.0,0.5152597248554229,0.6137987971305847,0.156681478023529,0.0277110934257507,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,,fit,none,0,0,0,0,0.0,0.0,1.0,1,0,0,0,1,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,valid_science_paraphrases,2,Scientific descriptions are tested against measurements and predictions.,0,0.0,1.0,0.0,TN_valid_kept,0.4844606220722198,1.083843231201172,0.0,6.0,0.4844606220722198,0.6137987971305847,0.156681478023529,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,,,none,0,0,0,0,0.0,0.0,1.0,0,0,0,0,1,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,valid_science_paraphrases,3,A successful model is automatically the final truth of reality.,1,1.0,0.0,1.0,TP_hallucination_blocked,0.6159222722053528,1.083843231201172,0.0,6.0,0.6159222722053528,0.6137987971305847,0.156681478023529,0.0,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,,,copular_relation_clamp|overclaim,0,0,0,0,0.0,1.0,0.0,1,0,0,1,0,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,valid_science_paraphrases,4,Scientific models are never tested against observations.,1,1.0,0.0,1.0,TP_hallucination_blocked,0.7632074952125549,1.083843231201172,0.5,5.0,0.8382074952125549,0.6137987971305847,0.156681478023529,0.1924583911895752,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,,never,content_token_clamp,0,0,0,0,0.0,1.0,0.0,1,0,0,1,0,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,earth_shape_mixed,0,Earth is perfectly flat.,1,1.0,0.0,1.0,TP_hallucination_blocked,0.5572154521942139,0.8761832118034363,1.0,1.0,0.7072154521942139,0.5415163040161133,0.1115556359291076,0.0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,,"flat,perfectly",copular_relation_clamp,0,1,0,0,1.0,1.0,0.0,1,1,1,1,0,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,earth_shape_mixed,1,Earth is approximately an oblate spheroid.,0,0.0,1.0,0.0,TN_valid_kept,0.1051608175039291,0.8761832118034363,0.0,3.0,0.1051608175039291,0.5415163040161133,0.1115556359291076,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,,,none,0,0,0,0,0.0,0.0,1.0,0,0,0,0,1,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,earth_shape_mixed,2,Earth is roughly spherical and slightly flattened at the poles.,0,0.0,1.0,0.0,TN_valid_kept,0.3887318074703216,0.8761832118034363,0.0,5.0,0.3887318074703216,0.5415163040161133,0.1115556359291076,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,,,none,0,1,0,0,1.0,1.0,0.0,0,0,0,0,1,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,earth_shape_mixed,3,Earth is a perfect cube.,1,1.0,0.0,0.0,TP_hallucination_blocked,0.6852445006370544,0.8761832118034363,0.5,2.0,0.7602445006370544,0.5415163040161133,0.1115556359291076,0.0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,,cube,copular_relation_clamp,0,1,0,0,1.0,1.0,0.0,1,1,1,1,0,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,earth_shape_mixed,4,Earth is a hollow artificial shell.,1,1.0,0.0,1.0,TP_hallucination_blocked,0.726864755153656,0.8761832118034363,1.5,1.0,0.951864755153656,0.5415163040161133,0.1115556359291076,0.0218356847763061,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,,"artificial,hollow,shell",copular_relation_clamp,0,0,0,0,0.0,1.0,0.0,1,0,0,1,0,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,dna_location_all_bad,0,"In human cells, DNA is mainly found in the stomach.",1,1.0,0.0,1.0,TP_hallucination_blocked,0.3285442888736725,0.2846048921346664,0.5,4.0,0.4035442888736725,0.1830958425998687,0.0338363498449325,0.124043583869934,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,,stomach,content_token_clamp,0,0,0,0,0.0,1.0,0.0,1,0,0,1,0,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,dna_location_all_bad,1,"In human cells, DNA is mainly found in the lungs.",1,1.0,0.0,1.0,TP_hallucination_blocked,0.3497321307659149,0.2846048921346664,0.5,4.0,0.4247321307659149,0.1830958425998687,0.0338363498449325,0.1422373056411743,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,,lungs,content_token_clamp,0,0,0,0,0.0,1.0,0.0,1,0,0,1,0,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,dna_location_all_bad,2,"In human cells, DNA is mainly found in the keyboard.",1,1.0,0.0,1.0,TP_hallucination_blocked,0.3994739949703216,0.2846048921346664,0.5,4.0,0.4744739949703216,0.1830958425998687,0.0338363498449325,0.1828953027725219,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,,keyboard,content_token_clamp,0,0,0,0,0.0,1.0,0.0,1,0,0,1,0,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,dna_location_all_bad,3,Human DNA is mainly stored in blood plasma outside cells.,1,1.0,0.0,1.0,TP_hallucination_blocked,0.5344432592391968,0.2846048921346664,2.0,3.0,0.8344432592391968,0.1830958425998687,0.0338363498449325,0.0449351072311401,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,,"blood,outside,plasma,stored",content_token_clamp,0,1,0,0,1.0,1.0,0.0,1,1,1,1,0,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,sun_classification_all_bad_exp07_fn,0,The Sun is a planet.,1,1.0,0.0,0.0,TP_hallucination_blocked,0.3138162791728973,0.5215609520673752,0.0,2.0,0.3138162791728973,0.4231876730918884,0.0327910929918289,0.0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,,,copular_relation_clamp,0,1,0,0,1.0,1.0,0.0,0,0,0,1,0,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,sun_classification_all_bad_exp07_fn,1,The Sun is a galaxy.,1,1.0,0.0,0.0,TP_hallucination_blocked,0.4252818524837494,0.5215609520673752,0.5,1.0,0.5002818524837493,0.4231876730918884,0.0327910929918289,0.0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,,galaxy,copular_relation_clamp,0,1,0,0,1.0,1.0,0.0,1,1,1,1,0,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,sun_classification_all_bad_exp07_fn,2,The Sun is an asteroid.,1,1.0,0.0,1.0,TP_hallucination_blocked,0.5316047668457031,0.5215609520673752,0.5,1.0,0.6066047668457031,0.4231876730918884,0.0327910929918289,0.1109248399734497,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,,asteroid,content_token_clamp|copular_relation_clamp,0,0,0,0,0.0,1.0,0.0,1,0,0,1,0,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,sun_classification_all_bad_exp07_fn,3,The Sun is a comet.,1,1.0,0.0,1.0,TP_hallucination_blocked,0.5683882236480713,0.5215609520673752,0.5,1.0,0.6433882236480712,0.4231876730918884,0.0327910929918289,0.1317157745361328,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,,comet,content_token_clamp|copular_relation_clamp,0,0,0,0,0.0,1.0,0.0,1,0,0,1,0,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,sun_classification_all_bad_exp07_fn,4,The Sun is a moon.,1,1.0,0.0,1.0,TP_hallucination_blocked,0.558533251285553,0.5215609520673752,0.5,1.0,0.6335332512855529,0.4231876730918884,0.0327910929918289,0.0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,,moon,copular_relation_clamp,0,0,0,0,0.0,1.0,0.0,1,0,0,1,0,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,earth_shape_all_bad_exp07_fn,0,Earth is a perfect cube.,1,1.0,0.0,0.0,TP_hallucination_blocked,0.6852445006370544,0.8761832118034363,0.5,2.0,0.7602445006370544,0.5415163040161133,0.1115556359291076,0.0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,,cube,copular_relation_clamp,0,1,0,0,1.0,1.0,0.0,1,1,1,1,0,0,,,,,,,,,,,
