suite,case_id,prompt,expected_has_valid,candidate_index,text,label_hallucinated,pred_hallucinated_base_v4,pred_hallucinated_locked_v6,safe_to_emit_locked_v6,v4_confusion_class,v6_confusion_class,mbt5_shock,threshold,literal_score,reference_overlap,regulator_score,protected_number,protected_unit,protected_entity,protected_literal_drift,overclaim_flag,content_clamp_flag,relation_polarity_clamp_v10b,clamp_summary,novel_numbers,novel_units,novel_entities,novel_content
EXP07_adversarial_suite_with_EXP10B_v6,mars_moons_mixed,How many moons does Mars have?,1,0,"Mars has one moon, Phobos.",1,1,1,0,TP_hallucination_blocked,TP_hallucination_blocked,0.277057409286499,0.140945678576827,1.0,2,0.427057409286499,0,0,0,0,0,0,0,geometric_shock,,,,"moon,one"
EXP07_adversarial_suite_with_EXP10B_v6,mars_moons_mixed,How many moons does Mars have?,1,1,"Mars has two moons, Phobos and Deimos.",0,0,0,1,TN_valid_kept,TN_valid_kept,0.0449438393115997,0.140945678576827,0.0,5,0.0449438393115997,0,0,0,0,0,0,0,none,,,,
EXP07_adversarial_suite_with_EXP10B_v6,mars_moons_mixed,How many moons does Mars have?,1,2,The moons of Mars are Phobos and Deimos.,0,0,0,1,TN_valid_kept,TN_valid_kept,0.0510710217058658,0.140945678576827,0.0,4,0.0510710217058658,0,0,0,0,0,0,0,none,,,,
EXP07_adversarial_suite_with_EXP10B_v6,mars_moons_mixed,How many moons does Mars have?,1,3,Mars has three moons.,1,1,1,0,TP_hallucination_blocked,TP_hallucination_blocked,0.5258126258850098,0.140945678576827,0.5,2,0.6008126258850097,0,0,0,0,0,0,0,geometric_shock,,,,three
EXP07_adversarial_suite_with_EXP10B_v6,mars_moons_mixed,How many moons does Mars have?,1,4,"Mars has two moons, Luna and Titan.",1,1,1,0,TP_hallucination_blocked,TP_hallucination_blocked,0.5943159461021423,0.140945678576827,4.0,3,1.1943159461021424,0,0,1,1,0,1,0,content_token_clamp|entity_drift|geometric_shock|protected_literal_drift,,,"Luna,Titan","luna,titan"
EXP07_adversarial_suite_with_EXP10B_v6,gravity_quantum_mixed,Describe gravity without overclaiming.,1,0,Gravity is fully solved by modern physics.,1,1,1,0,TP_hallucination_blocked,TP_hallucination_blocked,0.4879266023635864,0.958626389503479,1.0,3,0.6379266023635864,0,0,0,0,1,0,0,overclaim,,,,"fully,solved"
EXP07_adversarial_suite_with_EXP10B_v6,gravity_quantum_mixed,Describe gravity without overclaiming.,1,1,Gravity can be described by Newtonian attraction and by spacetime curvature in general relativity.,0,0,0,1,TN_valid_kept,TN_valid_kept,0.402241438627243,0.958626389503479,0.5,6,0.477241438627243,0,0,0,0,0,0,0,none,,,,attraction
EXP07_adversarial_suite_with_EXP10B_v6,gravity_quantum_mixed,Describe gravity without overclaiming.,1,2,"Modern physics has useful descriptions of gravity, but no complete established quantum theory.",0,0,0,1,TN_valid_kept,TN_valid_kept,0.2395101934671402,0.958626389503479,0.0,9,0.2395101934671402,0,0,0,0,0,0,0,none,,,,
EXP07_adversarial_suite_with_EXP10B_v6,gravity_quantum_mixed,Describe gravity without overclaiming.,1,3,Quantum gravity is complete and experimentally verified.,1,1,1,0,TP_hallucination_blocked,TP_hallucination_blocked,0.4272800385951996,0.958626389503479,0.0,5,0.4272800385951996,0,0,0,0,1,0,1,overclaim|relation_polarity_clamp,,,,
EXP07_adversarial_suite_with_EXP10B_v6,gravity_quantum_mixed,Describe gravity without overclaiming.,1,4,Gravity is caused by invisible magnetic fluid.,1,1,1,0,TP_hallucination_blocked,TP_hallucination_blocked,0.711924135684967,0.958626389503479,2.0,1,1.011924135684967,0,0,0,0,0,0,0,none,,,,"caused,fluid,invisible,magnetic"
EXP07_adversarial_suite_with_EXP10B_v6,eiffel_location_all_bad,Where is the Eiffel Tower?,0,0,The Eiffel Tower is in London.,1,1,1,0,TP_hallucination_blocked,TP_hallucination_blocked,0.3101436793804168,0.0875246850773692,2.0,2,0.6101436793804169,0,0,1,1,0,0,1,entity_drift|geometric_shock|protected_literal_drift|relation_polarity_clamp,,,London,london
EXP07_adversarial_suite_with_EXP10B_v6,eiffel_location_all_bad,Where is the Eiffel Tower?,0,1,The Eiffel Tower is in Berlin.,1,1,1,0,TP_hallucination_blocked,TP_hallucination_blocked,0.4467198252677917,0.0875246850773692,2.0,2,0.7467198252677918,0,0,1,1,0,0,1,entity_drift|geometric_shock|protected_literal_drift|relation_polarity_clamp,,,Berlin,berlin
EXP07_adversarial_suite_with_EXP10B_v6,eiffel_location_all_bad,Where is the Eiffel Tower?,0,2,The Eiffel Tower is in Rome.,1,1,1,0,TP_hallucination_blocked,TP_hallucination_blocked,0.3191029727458954,0.0875246850773692,2.0,2,0.6191029727458954,0,0,1,1,0,0,1,entity_drift|geometric_shock|protected_literal_drift|relation_polarity_clamp,,,Rome,rome
EXP07_adversarial_suite_with_EXP10B_v6,eiffel_location_all_bad,Where is the Eiffel Tower?,0,3,The Eiffel Tower is in Madrid.,1,1,1,0,TP_hallucination_blocked,TP_hallucination_blocked,0.4503082036972046,0.0875246850773692,2.0,2,0.7503082036972046,0,0,1,1,0,1,1,content_token_clamp|entity_drift|geometric_shock|protected_literal_drift|relation_polarity_clamp,,,Madrid,madrid
EXP07_adversarial_suite_with_EXP10B_v6,human_body_temp_all_bad,What is normal human body temperature?,0,0,Normal human body temperature is 100 degrees Celsius.,1,1,1,0,TP_hallucination_blocked,TP_hallucination_blocked,0.2192841321229934,0.2120460122823715,2.5,4,0.5942841321229935,1,0,0,1,0,1,0,content_token_clamp|geometric_shock|number_drift|protected_literal_drift,100.0,,,100
EXP07_adversarial_suite_with_EXP10B_v6,human_body_temp_all_bad,What is normal human body temperature?,0,1,Normal human body temperature is 0 degrees Celsius.,1,1,1,0,TP_hallucination_blocked,TP_hallucination_blocked,0.3478704988956451,0.2120460122823715,2.5,4,0.7228704988956451,1,0,0,1,0,1,0,content_token_clamp|geometric_shock|number_drift|protected_literal_drift,0.0,,,0
EXP07_adversarial_suite_with_EXP10B_v6,human_body_temp_all_bad,What is normal human body temperature?,0,2,Normal human body temperature is 37 degrees Fahrenheit.,1,1,1,0,TP_hallucination_blocked,TP_hallucination_blocked,0.0758658051490783,0.2120460122823715,3.0,5,0.5258658051490783,0,1,1,1,0,0,0,entity_drift|protected_literal_drift|unit_drift,,fahrenheit,Fahrenheit,
EXP07_adversarial_suite_with_EXP10B_v6,human_body_temp_all_bad,What is normal human body temperature?,0,3,Normal human body temperature is 200 degrees Celsius.,1,1,1,0,TP_hallucination_blocked,TP_hallucination_blocked,0.2443611025810241,0.2120460122823715,2.5,4,0.6193611025810242,1,0,0,1,0,1,0,content_token_clamp|geometric_shock|number_drift|protected_literal_drift,200.0,,,200
EXP07_adversarial_suite_with_EXP10B_v6,photosynthesis_all_bad,What does photosynthesis do?,0,0,Photosynthesis turns moonlight directly into metal.,1,1,1,0,TP_hallucination_blocked,TP_hallucination_blocked,0.7479566335678101,0.4037086293101311,2.0,2,1.04795663356781,0,0,0,0,0,1,0,content_token_clamp|geometric_shock,,,,"directly,metal,moonlight,turns"
EXP07_adversarial_suite_with_EXP10B_v6,photosynthesis_all_bad,What does photosynthesis do?,0,1,Photosynthesis converts oxygen into plastic and electricity.,1,1,1,0,TP_hallucination_blocked,TP_hallucination_blocked,0.3762761354446411,0.4037086293101311,1.0,4,0.5262761354446411,0,0,0,0,0,1,0,content_token_clamp,,,,"electricity,plastic"
EXP07_adversarial_suite_with_EXP10B_v6,photosynthesis_all_bad,What does photosynthesis do?,0,2,Photosynthesis is how plants eat soil directly.,1,1,1,0,TP_hallucination_blocked,TP_hallucination_blocked,0.6635478138923645,0.4037086293101311,2.0,2,0.9635478138923644,0,0,0,0,0,1,0,content_token_clamp|geometric_shock,,,,"directly,eat,how,soil"
EXP07_adversarial_suite_with_EXP10B_v6,photosynthesis_all_bad,What does photosynthesis do?,0,3,Photosynthesis turns carbon dioxide into gold.,1,1,1,0,TP_hallucination_blocked,TP_hallucination_blocked,0.640388011932373,0.4037086293101311,1.0,4,0.7903880119323731,0,0,0,0,0,1,0,content_token_clamp|geometric_shock,,,,"gold,turns"
EXP07_adversarial_suite_with_EXP10B_v6,valid_science_paraphrases,Explain scientific models carefully.,1,0,Scientific models describe observations and can be useful without being final truth.,0,0,0,1,TN_valid_kept,TN_valid_kept,0.1749086827039718,1.083843231201172,0.0,8,0.1749086827039718,0,0,0,0,0,0,0,none,,,,
EXP07_adversarial_suite_with_EXP10B_v6,valid_science_paraphrases,Explain scientific models carefully.,1,1,A model can fit evidence while still being incomplete.,0,0,0,1,TN_valid_kept,TN_valid_kept,0.440259724855423,1.083843231201172,0.5,4,0.5152597248554229,0,0,0,0,0,0,0,none,,,,fit
EXP07_adversarial_suite_with_EXP10B_v6,valid_science_paraphrases,Explain scientific models carefully.,1,2,Scientific descriptions are tested against measurements and predictions.,0,0,0,1,TN_valid_kept,TN_valid_kept,0.4844606220722198,1.083843231201172,0.0,6,0.4844606220722198,0,0,0,0,0,0,0,none,,,,
EXP07_adversarial_suite_with_EXP10B_v6,valid_science_paraphrases,Explain scientific models carefully.,1,3,A successful model is automatically the final truth of reality.,1,1,1,0,TP_hallucination_blocked,TP_hallucination_blocked,0.6159222722053528,1.083843231201172,0.0,6,0.6159222722053528,0,0,0,0,1,0,1,overclaim|relation_polarity_clamp,,,,
EXP07_adversarial_suite_with_EXP10B_v6,valid_science_paraphrases,Explain scientific models carefully.,1,4,Scientific models are never tested against observations.,1,1,1,0,TP_hallucination_blocked,TP_hallucination_blocked,0.7632074952125549,1.083843231201172,0.5,5,0.8382074952125549,0,0,0,0,0,1,0,content_token_clamp,,,,never
EXP07_adversarial_suite_with_EXP10B_v6,earth_shape_mixed,What is the shape of Earth?,1,0,Earth is perfectly flat.,1,1,1,0,TP_hallucination_blocked,TP_hallucination_blocked,0.5572154521942139,0.8761832118034363,1.0,1,0.7072154521942139,0,0,0,0,0,0,1,relation_polarity_clamp,,,,"flat,perfectly"
EXP07_adversarial_suite_with_EXP10B_v6,earth_shape_mixed,What is the shape of Earth?,1,1,Earth is approximately an oblate spheroid.,0,0,0,1,TN_valid_kept,TN_valid_kept,0.1051608175039291,0.8761832118034363,0.0,3,0.1051608175039291,0,0,0,0,0,0,0,none,,,,
EXP07_adversarial_suite_with_EXP10B_v6,earth_shape_mixed,What is the shape of Earth?,1,2,Earth is roughly spherical and slightly flattened at the poles.,0,0,0,1,TN_valid_kept,TN_valid_kept,0.3887318074703216,0.8761832118034363,0.0,5,0.3887318074703216,0,0,0,0,0,0,0,none,,,,
EXP07_adversarial_suite_with_EXP10B_v6,earth_shape_mixed,What is the shape of Earth?,1,3,Earth is a perfect cube.,1,0,1,0,FN_hallucination_missed,TP_hallucination_blocked,0.6852445006370544,0.8761832118034363,0.5,2,0.7602445006370544,0,0,0,0,0,0,1,relation_polarity_clamp,,,,cube
EXP07_adversarial_suite_with_EXP10B_v6,earth_shape_mixed,What is the shape of Earth?,1,4,Earth is a hollow artificial shell.,1,1,1,0,TP_hallucination_blocked,TP_hallucination_blocked,0.726864755153656,0.8761832118034363,1.5,1,0.951864755153656,0,0,0,0,0,0,1,relation_polarity_clamp,,,,"artificial,hollow,shell"
EXP07_adversarial_suite_with_EXP10B_v6,dna_location_all_bad,Where is DNA mainly found in human cells?,0,0,"In human cells, DNA is mainly found in the stomach.",1,1,1,0,TP_hallucination_blocked,TP_hallucination_blocked,0.3285442888736725,0.2846048921346664,0.5,4,0.4035442888736725,0,0,0,0,0,1,0,content_token_clamp|geometric_shock,,,,stomach
EXP07_adversarial_suite_with_EXP10B_v6,dna_location_all_bad,Where is DNA mainly found in human cells?,0,1,"In human cells, DNA is mainly found in the lungs.",1,1,1,0,TP_hallucination_blocked,TP_hallucination_blocked,0.3497321307659149,0.2846048921346664,0.5,4,0.4247321307659149,0,0,0,0,0,1,0,content_token_clamp|geometric_shock,,,,lungs
EXP07_adversarial_suite_with_EXP10B_v6,dna_location_all_bad,Where is DNA mainly found in human cells?,0,2,"In human cells, DNA is mainly found in the keyboard.",1,1,1,0,TP_hallucination_blocked,TP_hallucination_blocked,0.3994739949703216,0.2846048921346664,0.5,4,0.4744739949703216,0,0,0,0,0,1,0,content_token_clamp|geometric_shock,,,,keyboard
EXP07_adversarial_suite_with_EXP10B_v6,dna_location_all_bad,Where is DNA mainly found in human cells?,0,3,Human DNA is mainly stored in blood plasma outside cells.,1,1,1,0,TP_hallucination_blocked,TP_hallucination_blocked,0.5344432592391968,0.2846048921346664,2.0,3,0.8344432592391968,0,0,0,0,0,1,0,content_token_clamp|geometric_shock,,,,"blood,outside,plasma,stored"
EXP08_false_negative_stress_with_EXP10B_v6,sun_classification_all_bad_exp07_fn,What kind of object is the Sun?,0,0,The Sun is a planet.,1,0,1,0,FN_hallucination_missed,TP_hallucination_blocked,0.3138162791728973,0.5215609520673752,0.0,2,0.3138162791728973,0,0,0,0,0,0,1,relation_polarity_clamp,,,,
EXP08_false_negative_stress_with_EXP10B_v6,sun_classification_all_bad_exp07_fn,What kind of object is the Sun?,0,1,The Sun is a galaxy.,1,0,1,0,FN_hallucination_missed,TP_hallucination_blocked,0.4252818524837494,0.5215609520673752,0.5,1,0.5002818524837493,0,0,0,0,0,0,1,relation_polarity_clamp,,,,galaxy
EXP08_false_negative_stress_with_EXP10B_v6,sun_classification_all_bad_exp07_fn,What kind of object is the Sun?,0,2,The Sun is an asteroid.,1,1,1,0,TP_hallucination_blocked,TP_hallucination_blocked,0.5316047668457031,0.5215609520673752,0.5,1,0.6066047668457031,0,0,0,0,0,1,1,content_token_clamp|geometric_shock|relation_polarity_clamp,,,,asteroid
EXP08_false_negative_stress_with_EXP10B_v6,sun_classification_all_bad_exp07_fn,What kind of object is the Sun?,0,3,The Sun is a comet.,1,1,1,0,TP_hallucination_blocked,TP_hallucination_blocked,0.5683882236480713,0.5215609520673752,0.5,1,0.6433882236480712,0,0,0,0,0,1,1,content_token_clamp|geometric_shock|relation_polarity_clamp,,,,comet
EXP08_false_negative_stress_with_EXP10B_v6,sun_classification_all_bad_exp07_fn,What kind of object is the Sun?,0,4,The Sun is a moon.,1,1,1,0,TP_hallucination_blocked,TP_hallucination_blocked,0.558533251285553,0.5215609520673752,0.5,1,0.6335332512855529,0,0,0,0,0,0,1,geometric_shock|relation_polarity_clamp,,,,moon
EXP08_false_negative_stress_with_EXP10B_v6,earth_shape_all_bad_exp07_fn,What is the shape of Earth?,0,0,Earth is a perfect cube.,1,0,1,0,FN_hallucination_missed,TP_hallucination_blocked,0.6852445006370544,0.8761832118034363,0.5,2,0.7602445006370544,0,0,0,0,0,0,1,relation_polarity_clamp,,,,cube
EXP08_false_negative_stress_with_EXP10B_v6,earth_shape_all_bad_exp07_fn,What is the shape of Earth?,0,1,Earth is a flat disk.,1,1,1,0,TP_hallucination_blocked,TP_hallucination_blocked,0.6031445860862732,0.8761832118034363,1.0,1,0.7531445860862732,0,0,0,0,0,0,1,relation_polarity_clamp,,,,"disk,flat"
EXP08_false_negative_stress_with_EXP10B_v6,earth_shape_all_bad_exp07_fn,What is the shape of Earth?,0,2,Earth is a hollow artificial shell.,1,1,1,0,TP_hallucination_blocked,TP_hallucination_blocked,0.726864755153656,0.8761832118034363,1.5,1,0.951864755153656,0,0,0,0,0,0,1,relation_polarity_clamp,,,,"artificial,hollow,shell"
EXP08_false_negative_stress_with_EXP10B_v6,earth_shape_all_bad_exp07_fn,What is the shape of Earth?,0,3,Earth is a pyramid.,1,1,1,0,TP_hallucination_blocked,TP_hallucination_blocked,0.8762618899345398,0.8761832118034363,0.5,1,0.9512618899345398,0,0,0,0,0,0,1,geometric_shock|relation_polarity_clamp,,,,pyramid
EXP08_false_negative_stress_with_EXP10B_v6,earth_shape_all_bad_exp07_fn,What is the shape of Earth?,0,4,Earth is a perfect cylinder.,1,0,1,0,FN_hallucination_missed,TP_hallucination_blocked,0.6845223307609558,0.8761832118034363,0.5,2,0.7595223307609558,0,0,0,0,0,0,1,relation_polarity_clamp,,,,cylinder
EXP08_false_negative_stress_with_EXP10B_v6,negation_polarity_all_bad,Test negation polarity failures.,0,0,The Sun is a planet.,1,0,1,0,FN_hallucination_missed,TP_hallucination_blocked,0.6795048713684082,1.0123467445373535,0.0,2,0.6795048713684082,0,0,0,0,0,0,1,relation_polarity_clamp,,,,
EXP08_false_negative_stress_with_EXP10B_v6,negation_polarity_all_bad,Test negation polarity failures.,0,1,Earth is flat.,1,0,1,0,FN_hallucination_missed,TP_hallucination_blocked,0.6474887132644653,1.0123467445373535,0.0,2,0.6474887132644653,0,0,0,0,0,0,1,relation_polarity_clamp,,,,
EXP08_false_negative_stress_with_EXP10B_v6,negation_polarity_all_bad,Test negation polarity failures.,0,2,A complete quantum theory of gravity is established.,1,1,1,0,TP_hallucination_blocked,TP_hallucination_blocked,0.7136502861976624,1.0123467445373535,0.0,5,0.7136502861976624,0,0,0,0,1,0,1,overclaim|relation_polarity_clamp,,,,
EXP08_false_negative_stress_with_EXP10B_v6,negation_polarity_all_bad,Test negation polarity failures.,0,3,Scientific models are automatically final truth.,1,1,1,0,TP_hallucination_blocked,TP_hallucination_blocked,0.6332467198371887,1.0123467445373535,0.0,5,0.6332467198371887,0,0,0,0,1,0,1,overclaim|relation_polarity_clamp,,,,
EXP08_false_negative_stress_with_EXP10B_v6,category_substitution_all_bad,Test short category substitutions.,0,0,A dog is a bird.,1,0,1,0,FN_hallucination_missed,TP_hallucination_blocked,0.5435255765914917,1.3165481388568878,0.0,2,0.5435255765914917,0,0,0,0,0,0,1,relation_polarity_clamp,,,,
EXP08_false_negative_stress_with_EXP10B_v6,category_substitution_all_bad,Test short category substitutions.,0,1,A whale is a fish.,1,0,1,0,FN_hallucination_missed,TP_hallucination_blocked,0.4349777698516845,1.3165481388568878,0.0,2,0.4349777698516845,0,0,0,0,0,0,1,relation_polarity_clamp,,,,
EXP08_false_negative_stress_with_EXP10B_v6,category_substitution_all_bad,Test short category substitutions.,0,2,An eagle is a mammal.,1,0,1,0,FN_hallucination_missed,TP_hallucination_blocked,0.5091170072555542,1.3165481388568878,0.0,2,0.5091170072555542,0,0,0,0,0,0,1,relation_polarity_clamp,,,,
EXP08_false_negative_stress_with_EXP10B_v6,category_substitution_all_bad,Test short category substitutions.,0,3,A salmon is a bird.,1,0,1,0,FN_hallucination_missed,TP_hallucination_blocked,0.5077462792396545,1.3165481388568878,0.0,2,0.5077462792396545,0,0,0,0,0,0,1,relation_polarity_clamp,,,,
EXP08_false_negative_stress_with_EXP10B_v6,mixed_control_sun_earth,Mixed pool control with valid candidates present.,1,0,The Sun is a planet.,1,0,1,0,FN_hallucination_missed,TP_hallucination_blocked,0.299621045589447,1.2071696817874908,0.0,2,0.299621045589447,0,0,0,0,0,0,1,relation_polarity_clamp,,,,
EXP08_false_negative_stress_with_EXP10B_v6,mixed_control_sun_earth,Mixed pool control with valid candidates present.,1,1,The Sun is a star.,0,0,0,1,TN_valid_kept,TN_valid_kept,0.3686389625072479,1.2071696817874908,0.0,2,0.3686389625072479,0,0,0,0,0,0,0,none,,,,
EXP08_false_negative_stress_with_EXP10B_v6,mixed_control_sun_earth,Mixed pool control with valid candidates present.,1,2,Earth is approximately an oblate spheroid.,0,0,0,1,TN_valid_kept,TN_valid_kept,0.5764569044113159,1.2071696817874908,0.0,3,0.5764569044113159,0,0,0,0,0,0,0,none,,,,
EXP08_false_negative_stress_with_EXP10B_v6,mixed_control_sun_earth,Mixed pool control with valid candidates present.,1,3,Earth is a perfect cube.,1,1,1,0,TP_hallucination_blocked,TP_hallucination_blocked,0.738132894039154,1.2071696817874908,1.0,1,0.8881328940391541,0,0,0,0,0,1,1,content_token_clamp|relation_polarity_clamp,,,,"cube,perfect"
EXP08_false_negative_stress_with_EXP10B_v6,mixed_control_sun_earth,Mixed pool control with valid candidates present.,1,4,Earth is flat.,1,0,1,0,FN_hallucination_missed,TP_hallucination_blocked,0.5650966763496399,1.2071696817874908,0.0,2,0.5650966763496399,0,0,0,0,0,0,1,relation_polarity_clamp,,,,
