case_id,prompt,expected_has_valid,candidate_index,text,label_hallucinated,pred_hallucinated_exp17,safe_to_emit_exp17,mbt5_shock,threshold,anchor_median,anchor_mad,literal_score,protected_number,protected_unit,protected_entity,protected_literal_drift,content_clamp_flag,relation_clamp,relation_supported_geometry_override,negated_positive_support_clamp,overclaim_flag,final_geometric_block,final_literal_block,geometry_override,exact_reference_member,num_relations_extracted,all_relations_supported,novel_numbers,novel_units,novel_entities,novel_content,historical_date_relation_clamp,missed_predicate_relation_clamp,role_swapped_relation_clamp,known_participant_unsupported_relation_clamp,exp18_patch_clamp,pred_hallucinated_exp18,safe_to_emit_exp18
electric_circuit_mixed,Check simple circuit relations.,1,0,A closed circuit allows current to flow.,0,0,1,0.1713863760232925,1.3783669471770723,0.7090704143047333,0.2230988442907796,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,,,,,0,0,0,0,0,0,1
electric_circuit_mixed,Check simple circuit relations.,1,1,An open circuit allows continuous current to flow.,1,1,0,0.2471916377544403,1.3783669471770723,0.7090704143047333,0.2230988442907796,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,,,,0,0,0,1,1,1,0
electric_circuit_mixed,Check simple circuit relations.,1,2,A battery provides voltage.,0,0,1,0.755465030670166,1.3783669471770723,0.7090704143047333,0.2230988442907796,0.0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,,,,,0,0,0,0,0,0,1
electric_circuit_mixed,Check simple circuit relations.,1,3,An insulator improves current flow like a wire.,1,0,1,0.5591281056404114,1.3783669471770723,0.7090704143047333,0.2230988442907796,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"improv,like,wire",0,1,0,0,1,1,0
electric_circuit_mixed,Check simple circuit relations.,1,4,A broken circuit prevents continuous current flow.,0,0,1,0.4456402361392975,1.3783669471770723,0.7090704143047333,0.2230988442907796,0.5,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,,,,broken,0,0,0,0,0,0,1
chemical_state_mixed,Check simple chemical state descriptions.,1,0,Water is liquid at room temperature.,0,0,1,0.2593540549278259,0.8306277990371187,0.6323959231376648,0.0660772919664846,0.0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,,,,,0,0,0,0,0,0,1
chemical_state_mixed,Check simple chemical state descriptions.,1,1,Ice is a gas.,1,1,0,0.5820088386535645,0.8306277990371187,0.6323959231376648,0.0660772919664846,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,,,,0,0,0,1,1,1,0
chemical_state_mixed,Check simple chemical state descriptions.,1,2,Steam is gaseous water.,0,0,1,0.417957991361618,0.8306277990371187,0.6323959231376648,0.0660772919664846,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,,,,,0,0,0,0,0,0,1
chemical_state_mixed,Check simple chemical state descriptions.,1,3,Steam is solid ice.,1,1,0,0.5283101201057434,0.8306277990371187,0.6323959231376648,0.0660772919664846,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,,,,0,0,0,1,1,1,0
chemical_state_mixed,Check simple chemical state descriptions.,1,4,Ice is solid water.,0,0,1,0.4005235433578491,0.8306277990371187,0.6323959231376648,0.0660772919664846,0.0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,,,,,0,0,0,0,0,0,1
sound_wave_mixed,Check sound-wave descriptions.,1,0,Sound is a mechanical wave.,0,0,1,0.2513417601585388,1.1290008127719362,0.7253870964050293,0.1345379054556356,0.0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,,,,,0,0,0,0,0,0,1
sound_wave_mixed,Check sound-wave descriptions.,1,1,Sound is an electromagnetic wave.,1,1,0,0.2558583617210388,1.1290008127719362,0.7253870964050293,0.1345379054556356,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,,,,0,0,0,1,1,1,0
sound_wave_mixed,Check sound-wave descriptions.,1,2,Sound needs a material medium.,0,0,1,0.3939596712589264,1.1290008127719362,0.7253870964050293,0.1345379054556356,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,,,,,0,0,0,0,0,0,1
sound_wave_mixed,Check sound-wave descriptions.,1,3,A vacuum transmits ordinary sound.,1,1,0,0.4939593970775604,1.1290008127719362,0.7253870964050293,0.1345379054556356,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,,,,0,0,0,1,1,1,0
sound_wave_mixed,Check sound-wave descriptions.,1,4,Light is an electromagnetic wave.,0,0,1,0.7235444188117981,1.1290008127719362,0.7253870964050293,0.1345379054556356,0.0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,,,,,0,0,0,0,0,0,1
astronomy_counts_all_bad,Block wrong moon-count claims.,0,0,Earth has two moons.,1,1,0,0.2507449686527252,0.6491796672374208,0.5672233402729034,0.0273187756548391,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,,,,0,0,0,1,1,1,0
astronomy_counts_all_bad,Block wrong moon-count claims.,0,1,Mars has one moon.,1,1,0,0.2636249363422394,0.6491796672374208,0.5672233402729034,0.0273187756548391,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,,,,0,0,0,1,1,1,0
astronomy_counts_all_bad,Block wrong moon-count claims.,0,2,Jupiter has one moon.,1,1,0,0.2731072604656219,0.6491796672374208,0.5672233402729034,0.0273187756548391,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,,,,0,0,0,1,1,1,0
astronomy_counts_all_bad,Block wrong moon-count claims.,0,3,Venus has two moons.,1,1,0,0.3543987274169922,0.6491796672374208,0.5672233402729034,0.0273187756548391,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,,,,0,0,0,1,1,1,0
astronomy_counts_all_bad,Block wrong moon-count claims.,0,4,Mercury has three moons.,1,1,0,0.4654349088668823,0.6491796672374208,0.5672233402729034,0.0273187756548391,4.5,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,3.0,,mercury,"3,mercury",0,0,0,0,0,1,0
biology_relations_all_bad,Block wrong cell-biology relations.,0,0,Chlorophyll contains chloroplasts.,1,0,1,0.5994758605957031,1.1660972833663423,0.9122217297554016,0.0846251845369802,1.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,chlorophyll,,0,0,1,1,1,1,0
biology_relations_all_bad,Block wrong cell-biology relations.,0,1,ATP produces mitochondria.,1,0,1,0.4676829278469085,1.1660972833663423,0.9122217297554016,0.0846251845369802,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,produc,0,0,1,1,1,1,0
biology_relations_all_bad,Block wrong cell-biology relations.,0,2,DNA contains the nucleus.,1,0,1,0.4240170419216156,1.1660972833663423,0.9122217297554016,0.0846251845369802,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,0,0,1,1,1,1,0
biology_relations_all_bad,Block wrong cell-biology relations.,0,3,Ribosomes make oxygen.,1,1,0,0.5934249758720398,1.1660972833663423,0.9122217297554016,0.0846251845369802,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,,,oxygen,0,0,0,1,1,1,0
biology_relations_all_bad,Block wrong cell-biology relations.,0,4,Mitochondria contain keyboards.,1,0,1,0.6874826550483704,1.1660972833663423,0.9122217297554016,0.0846251845369802,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,keyboard,0,0,0,1,1,1,0
historical_date_all_bad,Block wrong historical date relations against the supplied reference box.,0,0,Magna Carta was signed in 1066.,1,0,1,0.4820146560668945,1.1235299706489046,1.1022899150848389,0.0070800185213552,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,0,0,1,1,0
historical_date_all_bad,Block wrong historical date relations against the supplied reference box.,0,1,The Battle of Hastings occurred in 1215.,1,0,1,0.5897336602210999,1.1235299706489046,1.1022899150848389,0.0070800185213552,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,0,0,1,1,0
historical_date_all_bad,Block wrong historical date relations against the supplied reference box.,0,2,The Declaration of Independence was adopted in 1969.,1,0,1,0.6829639077186584,1.1235299706489046,1.1022899150848389,0.0070800185213552,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,0,0,1,1,0
historical_date_all_bad,Block wrong historical date relations against the supplied reference box.,0,3,Apollo 11 landed on the Moon in 1776.,1,0,1,0.5460644960403442,1.1235299706489046,1.1022899150848389,0.0070800185213552,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,0,0,1,1,0
historical_date_all_bad,Block wrong historical date relations against the supplied reference box.,0,4,Magna Carta was signed in 1969.,1,0,1,0.5672823786735535,1.1235299706489046,1.1022899150848389,0.0070800185213552,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,0,0,0,1,1,0
unseen_valid_paraphrase_control,Valid paraphrase controls for unseen boxes.,1,0,Mercury goes around the Sun.,0,0,1,0.7095491290092468,1.1710631847411592,1.0848026275634766,0.0287535190592275,0.5,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,,,,goes,0,0,0,0,0,0,1
unseen_valid_paraphrase_control,Valid paraphrase controls for unseen boxes.,1,1,A battery provides voltage.,0,0,1,0.6856629848480225,1.1710631847411592,1.0848026275634766,0.0287535190592275,0.0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,,,,,0,0,0,0,0,0,1
unseen_valid_paraphrase_control,Valid paraphrase controls for unseen boxes.,1,2,Sound is a mechanical wave.,0,0,1,0.7133849263191223,1.1710631847411592,1.0848026275634766,0.0287535190592275,0.0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,,,,,0,0,0,0,0,0,1
unseen_valid_paraphrase_control,Valid paraphrase controls for unseen boxes.,1,3,The nucleus contains DNA.,0,0,1,0.6544350981712341,1.1710631847411592,1.0848026275634766,0.0287535190592275,0.0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,,,,,0,0,0,0,0,0,1
unseen_valid_paraphrase_control,Valid paraphrase controls for unseen boxes.,1,4,Water is liquid at room temperature.,0,0,1,0.7463347315788269,1.1710631847411592,1.0848026275634766,0.0287535190592275,0.0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,,,,,0,0,0,0,0,0,1
hard_negated_positive_support_all_bad,Block unsupported negation of positive reference support.,0,0,Sound does not need a material medium to travel.,1,1,0,0.756592869758606,1.2487863302260835,1.1867200136184692,0.020688772202538,0.5,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,,,,need,0,0,0,0,0,1,0
hard_negated_positive_support_all_bad,Block unsupported negation of positive reference support.,0,1,An open circuit does not prevent current flow.,1,1,0,0.8697221279144287,1.2487863302260835,1.1867200136184692,0.020688772202538,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,,,,,0,0,0,0,0,1,0
hard_negated_positive_support_all_bad,Block unsupported negation of positive reference support.,0,2,Water is not liquid at room temperature.,1,1,0,0.7494301199913025,1.2487863302260835,1.1867200136184692,0.020688772202538,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,,,,,0,0,0,0,0,1,0
hard_negated_positive_support_all_bad,Block unsupported negation of positive reference support.,0,3,The lungs do not add oxygen to blood.,1,1,0,0.8339546322822571,1.2487863302260835,1.1867200136184692,0.020688772202538,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,,,,,0,0,0,0,0,1,0
hard_negated_positive_support_all_bad,Block unsupported negation of positive reference support.,0,4,Scientific measurements do not support model testing.,1,1,0,0.9163483381271362,1.2487863302260835,1.1867200136184692,0.020688772202538,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,0,0,0,0,0,1,0
