case_id,candidate_index,text,label_hallucinated,token,token_stem,token_shock,string_support,semantic_support,supported_by_stem,supported_by_string,supported_by_semantic,unsupported,block_token
valid_science_paraphrases,4,Scientific models are never tested against observations.,1,never,never,0.1924583911895752,0.46153846153846156,0.32945021986961365,0,0,0,1,1
earth_shape_mixed,0,Earth is perfectly flat.,1,flat,flat,0.0,0.6153846153846154,0.8729459047317505,0,0,1,0,0
earth_shape_mixed,0,Earth is perfectly flat.,1,perfectly,perfectly,0.0,0.875,0.6073377132415771,0,1,1,0,0
earth_shape_mixed,3,Earth is a perfect cube.,1,cube,cube,0.0,0.4,0.4911370873451233,0,0,0,1,0
earth_shape_mixed,4,Earth is a hollow artificial shell.,1,artificial,artificial,0.021835684776306152,0.5263157894736842,0.353318452835083,0,0,0,1,0
earth_shape_mixed,4,Earth is a hollow artificial shell.,1,hollow,hollow,0.0,0.36363636363636365,0.5754595994949341,0,0,1,0,0
earth_shape_mixed,4,Earth is a hollow artificial shell.,1,shell,shell,0.0,0.6,0.4371970593929291,0,0,0,1,0
dna_location_all_bad,0,"In human cells, DNA is mainly found in the stomach.",1,stomach,stomach,0.12404358386993408,0.5454545454545454,0.406610369682312,0,0,0,1,1
dna_location_all_bad,1,"In human cells, DNA is mainly found in the lungs.",1,lungs,lungs,0.14223730564117432,0.5,0.3470710515975952,0,0,0,1,1
dna_location_all_bad,2,"In human cells, DNA is mainly found in the keyboard.",1,keyboard,keyboard,0.18289530277252197,0.4,0.27732235193252563,0,0,0,1,1
dna_location_all_bad,3,Human DNA is mainly stored in blood plasma outside cells.,1,blood,blood,0.02103501558303833,0.5,0.4330272674560547,0,0,0,1,0
dna_location_all_bad,3,Human DNA is mainly stored in blood plasma outside cells.,1,outside,outside,0.008951306343078613,0.5,0.38134506344795227,0,0,0,1,0
dna_location_all_bad,3,Human DNA is mainly stored in blood plasma outside cells.,1,plasma,plasma,0.04493510723114014,0.4,0.40140944719314575,0,0,0,1,1
dna_location_all_bad,3,Human DNA is mainly stored in blood plasma outside cells.,1,stored,stored,0.002212226390838623,0.6,0.42196986079216003,0,0,0,1,0
